magnitude,depth,cdi,mmi,sig,alert
6.71,10.00,7.00,8.00,-32.00,orange
6.74,54.00,8.00,7.00,-19.00,orange
6.90,33.00,8.00,8.00,-86.00,orange
8.17,23.00,9.00,8.00,-88.00,orange
6.85,15.00,8.00,8.00,-21.00,orange
7.84,20.00,9.00,8.00,-114.00,orange
6.83,56.00,8.00,8.00,67.00,orange
7.21,22.00,8.00,7.00,32.00,orange
7.77,14.00,9.00,8.00,9.00,orange
7.63,22.00,9.00,8.00,-111.00,orange
6.57,12.00,8.00,7.00,-10.00,orange
7.31,19.00,8.00,8.00,-38.00,orange
6.84,15.00,8.00,8.00,-21.00,orange
6.93,17.00,7.00,7.00,-12.00,orange
7.05,24.00,8.00,8.00,67.00,orange
8.09,77.00,8.00,7.00,-88.00,orange
6.68,12.00,7.00,7.00,-13.00,orange
7.46,14.00,9.00,8.00,11.00,orange
6.72,47.00,7.00,7.00,-20.00,orange
7.68,15.00,8.00,8.00,13.00,orange
7.01,12.00,8.00,8.00,-43.00,orange
6.90,52.00,8.00,7.00,55.00,orange
7.30,13.00,9.00,8.00,13.00,orange
6.79,46.00,8.00,7.00,53.00,orange
7.14,14.00,8.00,7.00,25.00,orange
7.20,17.00,7.00,7.00,-34.00,orange
6.68,12.00,9.00,8.00,18.00,orange
7.19,10.00,8.00,8.00,0.00,orange
6.93,37.00,8.00,8.00,66.00,orange
7.13,10.00,9.00,8.00,5.00,orange
6.95,44.00,8.00,7.00,58.00,orange
7.70,19.00,8.00,8.00,-106.00,orange
6.97,24.00,8.00,7.00,-10.00,orange
7.10,15.00,7.00,7.00,-30.00,orange
7.18,10.00,9.00,8.00,-1.00,orange
7.42,14.00,9.00,8.00,12.00,orange
7.01,60.00,8.00,7.00,59.00,orange
6.78,45.00,8.00,7.00,53.00,orange
6.60,35.00,8.00,8.00,51.00,orange
6.62,12.00,8.00,7.00,-12.00,orange
6.74,58.00,8.00,8.00,64.00,orange
7.10,17.00,8.00,7.00,-5.00,orange
6.79,11.00,7.00,7.00,-18.00,orange
6.71,11.00,8.00,8.00,-35.00,orange
6.76,11.00,7.00,7.00,-24.00,orange
6.77,59.00,8.00,7.00,60.00,orange
7.90,21.00,8.00,8.00,-67.00,orange
6.98,31.00,8.00,8.00,66.00,orange
6.76,29.00,8.00,8.00,56.00,orange
6.99,12.00,9.00,8.00,15.00,orange
7.28,23.00,8.00,8.00,-53.00,orange
7.00,22.00,8.00,8.00,64.00,orange
7.69,13.00,9.00,9.00,7.00,orange
7.87,114.00,8.00,8.00,93.00,orange
7.19,13.00,9.00,8.00,14.00,orange
6.64,11.00,9.00,8.00,17.00,orange
6.83,27.00,8.00,8.00,58.00,orange
7.52,28.00,9.00,8.00,-88.00,orange
6.79,74.00,8.00,7.00,-28.00,orange
6.83,25.00,8.00,8.00,-68.00,orange
6.74,12.00,9.00,8.00,17.00,orange
6.77,12.00,9.00,8.00,17.00,orange
7.68,15.00,8.00,8.00,13.00,orange
6.66,52.00,8.00,8.00,59.00,orange
8.25,21.00,9.00,8.00,-90.00,orange
7.06,20.00,8.00,8.00,66.00,orange
6.76,60.00,8.00,7.00,61.00,orange
6.88,51.00,8.00,7.00,54.00,orange
7.18,14.00,8.00,7.00,25.00,orange
6.75,37.00,8.00,8.00,58.00,orange
6.70,12.00,9.00,8.00,18.00,orange
6.64,35.00,8.00,8.00,53.00,orange
7.09,19.00,8.00,8.00,67.00,orange
7.74,18.00,8.00,7.00,-62.00,orange
6.74,10.00,7.00,8.00,-27.00,orange
6.99,13.00,7.00,7.00,-37.00,orange
6.79,11.00,7.00,7.00,-19.00,orange
7.41,20.00,8.00,8.00,-43.00,orange
7.13,19.00,8.00,7.00,32.00,orange
6.74,38.00,7.00,7.00,-20.00,orange
7.02,32.00,9.00,8.00,-88.00,orange
6.79,58.00,8.00,8.00,66.00,orange
7.50,77.00,9.00,8.00,85.00,orange
7.13,16.00,8.00,7.00,-4.00,orange
6.80,10.00,8.00,9.00,-40.00,orange
6.92,51.00,8.00,7.00,57.00,orange
7.31,16.00,8.00,8.00,-68.00,orange
8.28,22.00,9.00,8.00,-88.00,orange
6.93,10.00,8.00,8.00,-2.00,orange
7.09,43.00,8.00,7.00,74.00,orange
6.86,50.00,8.00,7.00,54.00,orange
6.78,50.00,8.00,7.00,-23.00,orange
6.77,18.00,8.00,8.00,-52.00,orange
7.05,14.00,7.00,7.00,-43.00,orange
7.26,13.00,8.00,8.00,2.00,orange
7.30,10.00,8.00,8.00,1.00,orange
6.86,11.00,9.00,8.00,12.00,orange
7.16,35.00,8.00,7.00,62.00,orange
6.73,13.00,8.00,8.00,-40.00,orange
7.71,108.00,8.00,8.00,90.00,orange
6.62,35.00,8.00,8.00,51.00,orange
8.28,21.00,8.00,7.00,-87.00,orange
6.93,33.00,9.00,8.00,-88.00,orange
7.08,42.00,8.00,8.00,74.00,orange
7.28,18.00,8.00,7.00,32.00,orange
6.79,58.00,8.00,7.00,59.00,orange
7.10,46.00,8.00,7.00,-2.00,orange
6.64,33.00,8.00,8.00,52.00,orange
6.88,43.00,8.00,8.00,65.00,orange
6.60,12.00,8.00,8.00,-12.00,orange
7.53,68.00,9.00,8.00,82.00,orange
7.57,8.00,8.00,9.00,10.00,red
6.92,10.00,8.00,8.00,27.00,red
7.85,34.00,9.00,7.00,70.00,red
7.23,10.00,8.00,8.00,22.00,red
7.24,9.00,8.00,8.00,25.00,red
7.20,20.00,8.00,8.00,-42.00,red
7.40,19.00,8.00,8.00,-23.00,red
7.67,8.00,8.00,9.00,7.00,red
6.79,12.00,8.00,8.00,54.00,red
7.13,20.00,8.00,8.00,-46.00,red
7.24,19.00,8.00,8.00,-32.00,red
7.09,10.00,9.00,8.00,26.00,red
7.06,10.00,9.00,8.00,26.00,red
7.41,16.00,8.00,9.00,-19.00,red
6.60,12.00,8.00,8.00,33.00,red
7.20,10.00,9.00,8.00,26.00,red
7.26,15.00,8.00,8.00,1.00,red
7.43,16.00,8.00,9.00,-18.00,red
6.60,14.00,8.00,8.00,35.00,red
7.69,15.00,5.00,8.00,-32.00,red
6.60,10.00,8.00,8.00,28.00,red
7.21,12.00,9.00,8.00,93.00,red
7.39,16.00,8.00,9.00,-20.00,red
7.72,11.00,8.00,8.00,-3.00,red
7.36,21.00,9.00,8.00,46.00,red
6.66,13.00,8.00,8.00,33.00,red
7.21,13.00,9.00,8.00,93.00,red
7.12,9.00,9.00,9.00,66.00,red
7.48,19.00,8.00,8.00,-22.00,red
6.60,13.00,8.00,8.00,33.00,red
6.64,8.00,9.00,8.00,24.00,red
6.73,12.00,8.00,8.00,47.00,red
7.57,16.00,5.00,8.00,-30.00,red
7.63,14.00,8.00,8.00,-11.00,red
7.04,14.00,8.00,8.00,-7.00,red
7.79,8.00,7.00,8.00,1.00,red
7.23,10.00,9.00,8.00,94.00,red
7.20,9.00,9.00,8.00,74.00,red
7.56,8.00,8.00,9.00,10.00,red
7.42,30.00,8.00,7.00,65.00,red
7.11,9.00,9.00,9.00,63.00,red
7.30,19.00,8.00,8.00,-25.00,red
7.25,11.00,8.00,8.00,18.00,red
7.70,15.00,5.00,8.00,-32.00,red
6.90,12.00,8.00,8.00,31.00,red
7.75,10.00,8.00,8.00,0.00,red
6.93,16.00,8.00,8.00,14.00,red
6.90,11.00,8.00,8.00,28.00,red
7.92,36.00,9.00,7.00,94.00,red
7.08,32.00,8.00,8.00,75.00,red
6.78,8.00,9.00,8.00,24.00,red
6.91,11.00,8.00,8.00,30.00,red
7.19,19.00,8.00,8.00,-36.00,red
7.35,19.00,8.00,8.00,-24.00,red
7.47,12.00,8.00,8.00,-20.00,red
7.78,8.00,8.00,9.00,4.00,red
7.65,14.00,8.00,8.00,-9.00,red
7.21,12.00,9.00,8.00,33.00,red
7.00,14.00,8.00,8.00,-4.00,red
7.13,9.00,9.00,9.00,70.00,red
7.59,8.00,8.00,8.00,12.00,red
6.96,10.00,7.00,8.00,5.00,red
6.68,13.00,8.00,8.00,43.00,red
7.18,17.00,8.00,8.00,-42.00,red
7.75,44.00,9.00,7.00,93.00,red
6.60,10.00,8.00,8.00,28.00,red
7.22,16.00,9.00,8.00,93.00,red
7.46,19.00,8.00,8.00,-19.00,red
6.61,14.00,8.00,7.00,35.00,red
7.61,17.00,6.00,8.00,-27.00,red
7.14,9.00,9.00,9.00,74.00,red
7.27,19.00,8.00,8.00,-29.00,red
7.58,16.00,8.00,8.00,-15.00,red
7.48,20.00,8.00,8.00,-23.00,red
7.63,16.00,5.00,8.00,-29.00,red
7.10,14.00,8.00,8.00,-1.00,red
7.54,8.00,8.00,8.00,13.00,red
7.70,15.00,5.00,8.00,-32.00,red
7.02,10.00,9.00,8.00,26.00,red
7.36,12.00,6.00,8.00,-15.00,red
7.10,11.00,8.00,8.00,16.00,red
7.27,32.00,9.00,8.00,75.00,red
7.25,25.00,9.00,8.00,93.00,red
7.26,18.00,6.00,8.00,-47.00,red
7.07,11.00,8.00,8.00,22.00,red
7.12,9.00,8.00,9.00,22.00,red
7.21,12.00,9.00,8.00,31.00,red
6.68,13.00,8.00,8.00,32.00,red
7.99,39.00,9.00,7.00,80.00,red
7.70,11.00,8.00,8.00,-4.00,red
7.88,44.00,9.00,7.00,93.00,red
7.72,11.00,8.00,8.00,-2.00,red
6.95,8.00,8.00,8.00,18.00,red
6.87,16.00,8.00,8.00,-30.00,red
7.17,10.00,9.00,8.00,26.00,red
7.28,9.00,8.00,8.00,23.00,red
6.88,9.00,9.00,8.00,25.00,red
7.31,17.00,6.00,8.00,-45.00,red
7.29,12.00,8.00,8.00,12.00,red
7.21,20.00,8.00,8.00,-41.00,red
7.35,9.00,8.00,8.00,21.00,red
7.12,19.00,8.00,8.00,-44.00,red
7.18,9.00,9.00,9.00,88.00,red
7.21,9.00,9.00,8.00,94.00,red
7.31,16.00,8.00,8.00,-4.00,red
7.34,19.00,8.00,8.00,-25.00,red
7.49,19.00,8.00,8.00,-22.00,red
7.32,10.00,8.00,8.00,16.00,red
7.52,19.00,8.00,8.00,-20.00,red
7.52,19.00,7.00,8.00,-23.00,red
6.60,13.00,8.00,8.00,34.00,red
7.59,12.00,8.00,9.00,-8.00,red
7.81,44.00,9.00,7.00,93.00,red
6.83,11.00,8.00,8.00,7.00,red
7.13,9.00,9.00,9.00,71.00,red
7.17,9.00,9.00,9.00,83.00,red
7.00,9.00,9.00,9.00,27.00,red
6.79,13.00,8.00,8.00,30.00,red
6.77,8.00,8.00,8.00,21.00,red
7.95,37.00,9.00,7.00,77.00,red
7.21,10.00,8.00,8.00,25.00,red
7.44,9.00,8.00,8.00,13.00,red
7.78,44.00,9.00,7.00,93.00,red
7.07,15.00,8.00,8.00,-9.00,red
7.25,19.00,8.00,8.00,-31.00,red
7.22,16.00,8.00,8.00,-39.00,red
7.78,8.00,8.00,9.00,2.00,red
7.71,43.00,9.00,7.00,93.00,red
7.55,18.00,8.00,8.00,-17.00,red
7.10,20.00,8.00,8.00,-49.00,red
7.51,14.00,8.00,9.00,-13.00,red
7.06,10.00,9.00,8.00,26.00,red
6.68,13.00,8.00,8.00,33.00,red
7.53,19.00,7.00,8.00,-23.00,red
7.48,20.00,8.00,8.00,-23.00,red
7.24,16.00,8.00,8.00,-8.00,red
6.64,8.00,8.00,8.00,22.00,red
6.60,10.00,8.00,8.00,28.00,red
7.20,9.00,9.00,8.00,64.00,red
7.08,17.00,9.00,8.00,43.00,red
7.60,8.00,8.00,9.00,9.00,red
7.15,9.00,8.00,9.00,21.00,red
7.15,9.00,8.00,8.00,89.00,red
7.29,8.00,8.00,8.00,12.00,red
7.10,24.00,8.00,7.00,53.00,red
7.02,19.00,8.00,8.00,-54.00,red
7.73,9.00,8.00,8.00,-1.00,red
7.22,20.00,8.00,8.00,-40.00,red
7.06,9.00,9.00,8.00,26.00,red
6.71,8.00,8.00,8.00,22.00,red
6.60,9.00,8.00,8.00,26.00,red
7.05,19.00,7.00,8.00,-54.00,red
7.17,17.00,8.00,8.00,-1.00,red
7.14,19.00,8.00,8.00,-41.00,red
7.63,11.00,8.00,9.00,-6.00,red
6.83,9.00,9.00,8.00,25.00,red
7.26,16.00,8.00,8.00,-9.00,red
7.79,8.00,8.00,8.00,2.00,red
7.28,15.00,8.00,8.00,-1.00,red
7.36,18.00,7.00,8.00,-27.00,red
8.08,42.00,9.00,7.00,94.00,red
6.91,12.00,8.00,8.00,8.00,red
7.38,41.00,9.00,7.00,93.00,red
6.68,9.00,8.00,8.00,19.00,red
6.88,9.00,9.00,8.00,25.00,red
7.50,19.00,7.00,8.00,-22.00,red
7.31,9.00,8.00,8.00,22.00,red
7.29,40.00,8.00,8.00,92.00,red
7.99,45.00,9.00,7.00,93.00,red
7.06,15.00,9.00,8.00,38.00,red
7.89,44.00,9.00,7.00,93.00,red
7.02,16.00,8.00,8.00,8.00,red
7.59,8.00,8.00,8.00,12.00,red
7.04,9.00,8.00,9.00,24.00,red
7.25,10.00,9.00,8.00,94.00,red
7.71,9.00,8.00,8.00,-2.00,red
7.28,12.00,8.00,8.00,14.00,red
7.20,10.00,8.00,8.00,26.00,red
7.36,41.00,9.00,7.00,93.00,red
7.40,9.00,8.00,9.00,15.00,red
7.09,9.00,9.00,9.00,57.00,red
6.79,12.00,8.00,8.00,32.00,red
6.97,11.00,8.00,8.00,30.00,red
7.17,9.00,9.00,8.00,26.00,red
7.76,8.00,8.00,9.00,5.00,red
7.79,8.00,7.00,8.00,0.00,red
6.85,11.00,8.00,8.00,29.00,red
7.08,9.00,9.00,8.00,26.00,red
7.23,20.00,9.00,8.00,48.00,red
7.51,25.00,9.00,8.00,55.00,red
6.95,9.00,9.00,8.00,25.00,red
7.06,19.00,8.00,8.00,-50.00,red
7.66,8.00,8.00,9.00,7.00,red
7.05,11.00,8.00,8.00,23.00,red
7.45,18.00,8.00,8.00,-13.00,red
7.41,9.00,8.00,8.00,18.00,red
7.99,39.00,9.00,7.00,80.00,red
7.05,10.00,9.00,8.00,26.00,red
7.07,10.00,8.00,8.00,28.00,red
6.83,8.00,9.00,8.00,25.00,red
7.01,19.00,8.00,8.00,-54.00,red
7.20,9.00,9.00,8.00,52.00,red
6.80,12.00,8.00,8.00,32.00,red
7.56,16.00,6.00,8.00,-30.00,red
7.58,34.00,8.00,7.00,71.00,red
7.23,19.00,9.00,8.00,93.00,red
7.53,8.00,8.00,9.00,11.00,red
7.49,9.00,8.00,8.00,12.00,red
7.70,27.00,9.00,8.00,94.00,red
6.60,9.00,8.00,8.00,27.00,red
7.24,18.00,6.00,8.00,-47.00,red
6.70,16.00,8.00,7.00,38.00,red
8.14,45.00,8.00,7.00,91.00,red
7.67,13.00,8.00,8.00,-6.00,red
7.51,19.00,8.00,8.00,-21.00,red
7.01,13.00,8.00,8.00,3.00,red
7.69,31.00,9.00,7.00,65.00,red
7.09,10.00,9.00,8.00,26.00,red
6.85,11.00,8.00,8.00,60.00,red
7.26,18.00,8.00,8.00,-6.00,red
8.00,42.00,8.00,7.00,86.00,red
7.12,16.00,8.00,8.00,-13.00,red
7.46,8.00,8.00,9.00,13.00,red
6.60,13.00,8.00,8.00,33.00,red
7.81,44.00,9.00,7.00,93.00,red
7.44,18.00,9.00,8.00,94.00,red
7.52,21.00,9.00,8.00,94.00,red
7.94,37.00,9.00,7.00,94.00,red
6.70,13.00,8.00,8.00,32.00,red
6.97,11.00,8.00,8.00,30.00,red
7.16,8.00,8.00,8.00,14.00,red
6.95,27.00,8.00,8.00,64.00,red
7.31,9.00,8.00,9.00,17.00,red
7.21,18.00,7.00,8.00,-49.00,red
7.05,20.00,8.00,8.00,-52.00,red
8.15,44.00,9.00,7.00,94.00,red
7.77,8.00,8.00,8.00,1.00,red
6.66,8.00,9.00,8.00,24.00,red
6.60,10.00,8.00,8.00,27.00,red
7.17,10.00,8.00,8.00,27.00,red
7.26,9.00,8.00,9.00,18.00,red
7.66,13.00,8.00,8.00,-8.00,red
7.55,13.00,8.00,9.00,-11.00,red
7.22,10.00,8.00,8.00,22.00,red
7.20,9.00,9.00,8.00,87.00,red
7.32,10.00,8.00,8.00,16.00,red
6.93,9.00,9.00,8.00,25.00,red
6.73,8.00,9.00,8.00,24.00,red
7.77,8.00,8.00,9.00,2.00,red
6.86,8.00,8.00,8.00,19.00,red
6.65,13.00,8.00,8.00,33.00,red
7.79,8.00,7.00,8.00,1.00,red
7.80,8.00,7.00,8.00,3.00,red
6.60,13.00,8.00,8.00,35.00,red
6.62,13.00,8.00,8.00,34.00,red
6.76,8.00,9.00,8.00,24.00,red
7.44,8.00,8.00,9.00,13.00,red
7.23,18.00,9.00,8.00,93.00,red
6.62,14.00,8.00,8.00,36.00,red
7.77,10.00,7.00,8.00,-7.00,red
6.67,8.00,9.00,8.00,24.00,red
7.79,8.00,7.00,8.00,0.00,red
7.28,35.00,9.00,8.00,93.00,red
7.59,17.00,6.00,8.00,-26.00,red
7.20,9.00,9.00,8.00,79.00,red
7.74,12.00,6.00,8.00,-18.00,red
7.21,12.00,9.00,8.00,93.00,red
7.29,36.00,9.00,8.00,93.00,red
7.38,30.00,8.00,7.00,63.00,red
6.88,12.00,8.00,8.00,27.00,red
7.13,19.00,8.00,8.00,-43.00,red
6.65,8.00,9.00,8.00,24.00,red
7.13,9.00,9.00,8.00,26.00,red
6.60,9.00,8.00,8.00,26.00,red
8.12,46.00,9.00,7.00,93.00,red
7.20,20.00,8.00,8.00,-42.00,red
7.26,29.00,9.00,8.00,93.00,red
6.60,9.00,8.00,8.00,27.00,red
7.66,13.00,8.00,8.00,-8.00,red
7.86,44.00,9.00,7.00,93.00,red
7.02,9.00,9.00,8.00,26.00,red
7.17,18.00,7.00,8.00,-50.00,red
6.80,8.00,9.00,8.00,24.00,red
6.99,16.00,8.00,8.00,10.00,red
7.27,33.00,9.00,8.00,76.00,red
6.96,16.00,8.00,8.00,11.00,red
7.09,10.00,9.00,8.00,26.00,red
7.27,32.00,9.00,8.00,93.00,red
7.20,9.00,9.00,8.00,42.00,red
7.66,15.00,5.00,8.00,-31.00,red
6.70,12.00,8.00,8.00,32.00,red
7.64,11.00,8.00,9.00,-5.00,red
7.23,33.00,9.00,8.00,77.00,red
6.76,12.00,8.00,8.00,31.00,red
7.17,8.00,8.00,8.00,14.00,red
7.06,19.00,7.00,8.00,-54.00,red
7.51,16.00,6.00,8.00,-29.00,red
7.11,10.00,9.00,8.00,26.00,red
7.14,19.00,7.00,8.00,-51.00,red
7.30,19.00,8.00,8.00,-25.00,red
6.60,11.00,8.00,8.00,30.00,red
7.26,16.00,8.00,8.00,-36.00,red
7.19,9.00,9.00,9.00,91.00,red
7.20,9.00,9.00,8.00,32.00,red
7.64,15.00,5.00,8.00,-34.00,red
7.45,19.00,8.00,8.00,-23.00,red
7.50,21.00,9.00,7.00,47.00,red
7.25,38.00,8.00,8.00,88.00,red
7.35,18.00,8.00,8.00,-14.00,red
7.16,9.00,9.00,9.00,79.00,red
7.20,9.00,9.00,8.00,74.00,red
7.20,10.00,9.00,8.00,26.00,red
7.15,20.00,8.00,8.00,-45.00,red
6.54,9.00,5.00,7.00,-62.00,yellow
7.43,24.00,8.00,7.00,-81.00,yellow
7.18,144.00,6.00,6.00,21.00,yellow
6.50,9.00,7.00,7.00,-105.00,yellow
6.50,13.00,8.00,7.00,-41.00,yellow
6.97,30.00,9.00,7.00,68.00,yellow
6.63,11.00,6.00,7.00,-64.00,yellow
7.11,8.00,8.00,8.00,109.00,yellow
7.74,31.00,7.00,7.00,-21.00,yellow
6.99,123.00,6.00,6.00,51.00,yellow
6.69,63.00,5.00,6.00,-111.00,yellow
6.78,76.00,6.00,6.00,-106.00,yellow
6.80,13.00,7.00,7.00,-69.00,yellow
6.77,34.00,6.00,6.00,10.00,yellow
6.50,12.00,7.00,7.00,-76.00,yellow
6.50,11.00,7.00,7.00,-111.00,yellow
7.19,21.00,7.00,7.00,-5.00,yellow
6.74,19.00,7.00,7.00,-99.00,yellow
7.84,27.00,9.00,8.00,57.00,yellow
6.82,13.00,8.00,7.00,-79.00,yellow
7.79,22.00,9.00,7.00,53.00,yellow
8.22,18.00,9.00,7.00,3.00,yellow
7.62,23.00,9.00,7.00,9.00,yellow
6.76,14.00,8.00,7.00,-67.00,yellow
6.50,9.00,9.00,8.00,-28.00,yellow
7.45,24.00,8.00,7.00,-81.00,yellow
7.35,24.00,8.00,7.00,-32.00,yellow
7.10,101.00,8.00,6.00,-80.00,yellow
7.19,144.00,6.00,6.00,22.00,yellow
7.42,124.00,7.00,7.00,-40.00,yellow
6.58,13.00,6.00,7.00,-46.00,yellow
6.77,13.00,7.00,7.00,-69.00,yellow
6.50,10.00,6.00,7.00,-52.00,yellow
6.92,27.00,9.00,7.00,65.00,yellow
6.50,14.00,8.00,7.00,-48.00,yellow
6.88,14.00,8.00,7.00,-79.00,yellow
7.10,145.00,6.00,6.00,55.00,yellow
6.90,18.00,9.00,8.00,112.00,yellow
6.68,11.00,6.00,8.00,-36.00,yellow
7.38,68.00,7.00,7.00,-104.00,yellow
7.06,144.00,6.00,6.00,35.00,yellow
7.49,145.00,7.00,6.00,119.00,yellow
7.70,78.00,8.00,7.00,-115.00,yellow
6.88,14.00,8.00,7.00,-33.00,yellow
6.90,120.00,6.00,6.00,-110.00,yellow
6.64,53.00,7.00,6.00,116.00,yellow
7.17,16.00,8.00,8.00,24.00,yellow
6.57,11.00,7.00,7.00,-103.00,yellow
6.98,135.00,5.00,6.00,11.00,yellow
7.18,146.00,7.00,6.00,48.00,yellow
6.50,16.00,5.00,7.00,-73.00,yellow
6.50,9.00,6.00,7.00,-104.00,yellow
6.55,9.00,8.00,7.00,-31.00,yellow
7.01,19.00,7.00,7.00,-113.00,yellow
6.54,11.00,6.00,7.00,-101.00,yellow
7.38,106.00,7.00,7.00,-54.00,yellow
7.00,44.00,6.00,7.00,28.00,yellow
7.45,24.00,8.00,7.00,-81.00,yellow
7.18,26.00,7.00,7.00,-14.00,yellow
6.74,12.00,8.00,7.00,-71.00,yellow
6.96,18.00,8.00,7.00,-34.00,yellow
7.10,23.00,7.00,7.00,-1.00,yellow
6.95,134.00,6.00,6.00,-116.00,yellow
8.19,24.00,8.00,8.00,51.00,yellow
7.10,145.00,6.00,6.00,55.00,yellow
6.93,11.00,9.00,7.00,13.00,yellow
6.81,10.00,4.00,7.00,-35.00,yellow
6.62,10.00,8.00,7.00,-74.00,yellow
6.50,12.00,9.00,8.00,-35.00,yellow
7.43,26.00,8.00,7.00,-116.00,yellow
6.95,22.00,9.00,7.00,107.00,yellow
6.74,35.00,7.00,7.00,118.00,yellow
7.44,15.00,9.00,6.00,30.00,yellow
7.34,24.00,8.00,7.00,-2.00,yellow
6.81,24.00,8.00,8.00,-127.00,yellow
7.65,21.00,7.00,8.00,33.00,yellow
6.95,29.00,9.00,7.00,67.00,yellow
7.49,16.00,8.00,7.00,46.00,yellow
6.78,39.00,8.00,6.00,110.00,yellow
6.56,14.00,6.00,7.00,-103.00,yellow
7.45,76.00,7.00,7.00,-115.00,yellow
7.70,19.00,8.00,7.00,28.00,yellow
6.77,21.00,8.00,7.00,-124.00,yellow
7.50,126.00,8.00,7.00,69.00,yellow
6.50,9.00,5.00,7.00,-58.00,yellow
6.85,82.00,6.00,6.00,-43.00,yellow
6.92,108.00,6.00,6.00,45.00,yellow
6.75,16.00,8.00,7.00,-35.00,yellow
7.30,21.00,9.00,8.00,9.00,yellow
6.71,12.00,8.00,7.00,48.00,yellow
6.59,10.00,8.00,7.00,-35.00,yellow
7.14,47.00,7.00,6.00,-115.00,yellow
7.47,138.00,7.00,6.00,-18.00,yellow
6.68,20.00,7.00,7.00,-4.00,yellow
7.51,24.00,8.00,7.00,-31.00,yellow
7.76,22.00,8.00,7.00,-4.00,yellow
6.62,15.00,6.00,7.00,-73.00,yellow
6.69,12.00,6.00,7.00,-66.00,yellow
6.54,17.00,6.00,7.00,-75.00,yellow
7.10,22.00,8.00,7.00,-106.00,yellow
6.54,9.00,8.00,7.00,-30.00,yellow
6.50,8.00,6.00,7.00,-69.00,yellow
7.59,88.00,7.00,7.00,-115.00,yellow
6.70,40.00,7.00,7.00,118.00,yellow
7.47,26.00,8.00,7.00,-112.00,yellow
7.54,39.00,8.00,7.00,-127.00,yellow
6.93,27.00,9.00,7.00,65.00,yellow
7.70,21.00,8.00,8.00,32.00,yellow
6.72,10.00,5.00,7.00,-35.00,yellow
7.85,135.00,8.00,6.00,-34.00,yellow
7.28,74.00,7.00,7.00,-115.00,yellow
6.99,30.00,8.00,6.00,-45.00,yellow
7.70,16.00,8.00,7.00,24.00,yellow
7.97,23.00,8.00,8.00,43.00,yellow
6.50,11.00,9.00,8.00,-32.00,yellow
7.62,117.00,8.00,7.00,-57.00,yellow
7.50,133.00,7.00,7.00,89.00,yellow
6.81,38.00,6.00,6.00,10.00,yellow
7.17,20.00,7.00,7.00,105.00,yellow
6.84,33.00,8.00,6.00,108.00,yellow
6.53,12.00,8.00,8.00,-36.00,yellow
6.86,9.00,3.00,8.00,-34.00,yellow
7.11,145.00,7.00,6.00,58.00,yellow
6.60,14.00,9.00,7.00,12.00,yellow
6.70,14.00,8.00,7.00,-63.00,yellow
7.52,26.00,8.00,7.00,-114.00,yellow
6.74,14.00,8.00,7.00,51.00,yellow
6.50,8.00,8.00,7.00,-75.00,yellow
7.50,126.00,8.00,7.00,69.00,yellow
6.97,114.00,6.00,6.00,43.00,yellow
7.29,23.00,8.00,7.00,-114.00,yellow
6.50,17.00,7.00,7.00,-125.00,yellow
7.70,16.00,8.00,6.00,23.00,yellow
7.57,26.00,8.00,7.00,-31.00,yellow
6.95,13.00,3.00,7.00,-35.00,yellow
6.98,26.00,8.00,7.00,105.00,yellow
7.42,24.00,8.00,7.00,-81.00,yellow
7.84,22.00,8.00,8.00,38.00,yellow
6.68,18.00,6.00,7.00,-76.00,yellow
6.73,17.00,7.00,7.00,-103.00,yellow
6.76,15.00,8.00,7.00,53.00,yellow
7.39,23.00,7.00,7.00,-81.00,yellow
7.13,27.00,5.00,6.00,-39.00,yellow
7.29,17.00,8.00,8.00,26.00,yellow
7.20,141.00,5.00,6.00,-6.00,yellow
6.83,83.00,7.00,6.00,-99.00,yellow
6.62,54.00,7.00,6.00,117.00,yellow
7.56,78.00,7.00,7.00,-115.00,yellow
7.91,23.00,8.00,8.00,41.00,yellow
6.77,16.00,6.00,7.00,-115.00,yellow
7.13,17.00,7.00,7.00,105.00,yellow
7.09,142.00,5.00,6.00,-2.00,yellow
7.26,142.00,7.00,6.00,35.00,yellow
7.05,13.00,7.00,7.00,107.00,yellow
6.55,16.00,6.00,7.00,-74.00,yellow
7.00,10.00,7.00,7.00,109.00,yellow
6.87,31.00,8.00,6.00,107.00,yellow
6.66,11.00,6.00,8.00,-36.00,yellow
6.90,5.00,7.00,7.00,111.00,yellow
6.53,10.00,7.00,7.00,-103.00,yellow
6.50,18.00,7.00,7.00,-124.00,yellow
7.11,17.00,8.00,7.00,-32.00,yellow
6.90,108.00,5.00,6.00,43.00,yellow
6.63,11.00,8.00,6.00,-35.00,yellow
7.07,22.00,5.00,7.00,-37.00,yellow
7.20,24.00,8.00,7.00,-119.00,yellow
6.50,14.00,7.00,7.00,-116.00,yellow
7.03,143.00,5.00,6.00,18.00,yellow
7.60,137.00,7.00,6.00,-24.00,yellow
6.53,9.00,8.00,7.00,-30.00,yellow
6.67,49.00,7.00,6.00,115.00,yellow
6.74,17.00,7.00,7.00,-103.00,yellow
7.23,27.00,7.00,6.00,-80.00,yellow
6.85,78.00,6.00,6.00,-42.00,yellow
7.90,114.00,9.00,7.00,-44.00,yellow
7.18,21.00,7.00,7.00,104.00,yellow
6.50,8.00,6.00,7.00,-68.00,yellow
7.72,15.00,9.00,7.00,7.00,yellow
